flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_cnt,ece_flag_cnt,down_up_ratio,avg_pkt_size,init_win_bytes_fwd,init_win_bytes_bwd,act_data_pkt_fwd,min_seg_size_fwd,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,label,type,const_feature,empty_feature,inf_feature
253163.777845,13.004846,20.431462,2572.463628,1686.915532,612.486151,20.460225,141.46145,89.727821,761.806884,27.798999,205.200459,111.307408,11427.582464,102.99441,1183.458299,3412.400452,34750.847538,0.043923,1783.824005,2513.484414,26322.98046,0.061127,1944.369386,2584.122778,31844.942671,0.026615,85.262395,103.13202,64.652867,62.347346,18.536906,817.016678,140.83095,111.08763,12032.150127,1,1,0,3,22,0,0,0,1.113632,121.722472,56547.550863,54919.975334,7.080016,29,4873.593332,8250.990096,138532.279035,0.0,8474.14108,12736.132824,200279.661245,0.024858,NonVPN,P2P,0,,inf
269828.967296,14.769512,18.513669,2447.733796,2455.225819,865.775634,17.617067,140.197546,83.815846,706.273977,26.103721,164.791364,110.247384,10322.076787,102.635683,1567.677047,3143.272361,38799.864761,0.0,1253.303643,1922.751363,22857.422093,0.0,2143.918722,2343.638556,31685.645169,0.064961,74.869799,108.744269,49.916929,43.335956,16.579921,845.076642,189.957152,68.908232,10781.962558,1,1,0,4,19,0,0,0,1.263395,129.693737,53090.683446,49992.979833,7.438674,26,7068.940115,13720.457195,128951.243759,0.0,6778.548364,16771.009012,204880.944683,0.0,NonVPN,Email,0,,inf
213557.418281,15.594522,21.453776,2262.191233,2525.758896,650.86586,13.971141,136.869686,89.128723,1186.404646,24.562786,211.84076,100.113947,7473.746159,78.496503,1217.243032,4425.998566,35790.316705,0.041924,1507.451594,3035.97617,32078.735217,0.0,1985.325491,2469.987002,36729.961873,0.0,62.351277,73.917239,61.86395,57.790639,20.57597,880.780591,173.489036,123.508031,10394.888502,1,1,0,3,18,0,0,0,1.252969,138.426608,66947.929383,55738.264673,7.992625,23,5802.726711,5678.721196,118947.682518,0.0,8586.75014,13470.921183,225565.867362,0.045795,NonVPN,Browsing,0,,inf
241323.28048,14.605592,16.938339,2597.092099,2851.838025,992.585327,19.44378,131.209549,86.373487,939.28448,24.762797,144.865826,111.791698,9890.270445,138.048806,1872.964842,2708.53183,39827.381787,0.0,1608.610927,2747.703142,36511.609553,0.0,1764.507282,1717.766329,33004.484566,0.0,72.376072,80.847846,58.981964,30.7624,14.718637,1244.938032,126.763549,80.25786,13306.444351,1,1,0,2,19,0,0,0,0.95205,171.895446,54002.466037,65092.616043,9.458311,27,7159.205537,11548.834942,128334.285535,0.0,8797.425285,19430.491705,251350.766526,0.024007,NonVPN,File-Transfer,0,,inf
164633.885363,18.671023,19.472322,1760.269449,2379.32639,837.975277,20.18888,142.111378,88.32349,859.179665,24.65907,227.67634,59.180163,9094.986048,98.018362,1474.590485,2985.777201,28719.183324,0.0164,2359.661469,1882.152862,34664.671274,0.0,1977.923236,2269.339151,31953.128225,0.065002,88.390235,125.934345,72.716048,48.556602,26.278164,971.116892,189.591249,94.661723,10119.782469,1,2,0,3,17,1,1,0,1.114756,144.241766,49051.852442,60354.046603,6.248153,29,3268.808973,8042.412451,132763.576572,0.0,13922.379115,17060.867045,276572.428188,0.0,NonVPN,Chat,0,,inf
286157.971219,16.670689,18.759459,2307.055923,2195.954416,778.75587,19.450919,160.351634,106.197153,728.517155,23.459961,227.99916,95.276953,8093.95247,98.459436,1612.785068,3206.581408,52046.942064,0.04284,2072.749702,2859.326523,42569.326742,0.0,1278.731975,3608.544198,31198.879483,0.005394,98.85753,68.312955,46.48221,32.029649,17.141109,971.22113,180.568379,104.972935,7457.021409,3,2,1,3,17,0,0,1,0.952149,161.508998,68958.805654,38474.947993,6.13308,28,4479.789964,11192.809141,121989.935822,0.0,9823.087303,11736.054844,201632.617519,0.0,NonVPN,File-Transfer,0,,inf
274714.872837,20.955817,13.521732,2355.559677,2113.025436,868.356381,19.528088,100.565543,105.038411,801.989885,21.693551,145.340022,97.045191,10231.692654,91.763922,1482.822825,3408.466988,51984.202116,0.0,1321.498067,3099.460091,28209.963871,0.05573,2138.015761,2733.906685,36134.508472,0.097551,109.90852,97.198906,61.730058,53.717545,16.95562,953.9574,164.231873,105.650348,8499.936149,1,1,0,2,22,0,0,0,1.001141,242.15091,62409.26122,75478.716671,8.131789,28,6215.828636,9593.78088,113817.027355,0.022698,10388.82735,18694.375721,160883.257162,0.0,NonVPN,Audio-Streaming,0,,inf
175413.372134,19.927923,20.900399,1915.085828,1896.828383,373.107847,18.043416,215.351205,97.045125,809.34929,26.009147,129.424949,104.112997,9670.106479,93.527679,1599.283143,3398.51565,47052.544697,0.0,2090.892192,3362.342491,24761.192594,0.0,2480.882361,2703.562631,42591.386919,0.0,100.952656,98.272075,62.788871,57.674216,18.697626,747.53822,151.677643,108.142011,7181.63367,1,1,0,3,20,0,0,0,1.069307,181.529043,63201.314409,81978.791669,7.874584,30,6042.572752,10197.848529,116551.59656,0.0,12085.887283,16541.363932,177440.902393,0.0,NonVPN,VoIP,0,,inf
251319.947082,13.408879,18.615093,1623.890296,3225.335095,979.704798,19.090938,159.813267,50.959264,712.671679,22.730875,145.26289,124.14505,12915.377068,74.879888,1188.959222,3335.61826,54180.038083,0.0,1880.687704,3452.367862,21080.5006,0.0,1847.501622,2537.62344,38973.119881,0.012083,54.440546,104.906292,53.76258,55.323022,17.740685,796.868324,181.071609,113.732677,10806.578855,1,1,0,4,19,0,0,0,0.88846,178.992748,54238.714651,55554.30612,9.962205,29,5742.469229,9849.701948,87720.838612,0.03496,15064.316264,16495.245757,225427.552999,0.0,NonVPN,Browsing,0,,inf
165234.986642,16.473445,16.734897,2931.738705,2518.487161,1040.175816,16.026533,165.855998,95.174284,759.214346,24.766351,219.28561,103.588924,6606.74387,94.699676,1172.58938,3002.811619,41383.196461,0.0,1276.526698,2825.607279,27177.319041,0.0,2282.543853,2937.274357,29631.086077,0.0,92.035634,102.036779,85.732105,48.403528,21.395731,872.957675,189.258243,111.251534,12253.105015,2,3,0,2,20,0,0,0,0.835272,159.027192,72020.03163,57353.344967,6.515628,26,5187.226603,10136.69511,97642.312737,0.0,10582.833772,12498.234139,172457.752652,0.034287,NonVPN,Video-Streaming,0,,inf
