target,model,accuracy,f1,f1_macro,roc_auc,precision,recall,n_features
tor_binary,rf,1.0,1.0,,1.0,1.0,1.0,58
tor_binary,gb,1.0,1.0,,1.0,1.0,1.0,58
tor_binary,xgb,0.99875,0.9974937343358395,,1.0,1.0,0.995,58
tor_binary,lr,1.0,1.0,,1.0,1.0,1.0,58
darknet_binary,rf,1.0,1.0,,1.0,1.0,1.0,58
darknet_binary,gb,0.99875,0.9987484355444305,,1.0,1.0,0.9975,58
darknet_binary,xgb,1.0,1.0,,1.0,1.0,1.0,58
darknet_binary,lr,1.0,1.0,,1.0,1.0,1.0,58
label4,rf,1.0,,1.0,,,,58
label4,gb,1.0,,1.0,,,,58
label4,xgb,1.0,,1.0,,,,58
label4,lr,0.99875,,0.9987499921874512,,,,58
apptype,rf,0.1425,,0.13925716719567705,,,,58
apptype,gb,0.12875,,0.11938621766090528,,,,58
apptype,xgb,0.135625,,0.13345695099303762,,,,58
apptype,lr,0.135625,,0.12371055927647226,,,,58
